"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1266","User login with wrong email or password","LMS system","Tue Jan 13 08:47:09 UTC 2026","passed","Tue Jan 13 08:47:10 UTC 2026","Authorization","Authentication","",""
"","3295","Registration with correct email, username and password","LMS system","Tue Jan 13 08:47:36 UTC 2026","passed","Tue Jan 13 08:47:39 UTC 2026","Registration","Authentication","",""
"","1649","User login with wrong email or password","LMS system","Tue Jan 13 08:47:16 UTC 2026","passed","Tue Jan 13 08:47:18 UTC 2026","Authorization","Authentication","",""
"","1614","Check displaying of empty courses list","LMS system","Tue Jan 13 08:47:53 UTC 2026","passed","Tue Jan 13 08:47:55 UTC 2026","Courses","Courses","",""
"","6264","User login with correct email and password","LMS system","Tue Jan 13 08:47:26 UTC 2026","passed","Tue Jan 13 08:47:32 UTC 2026","Authorization","Authentication","",""
"","2224","Registration with correct email, username and password","LMS system","Tue Jan 13 08:47:40 UTC 2026","passed","Tue Jan 13 08:47:42 UTC 2026","Registration","Authentication","",""
"","1652","Navigation from login page to registration page","LMS system","Tue Jan 13 08:47:42 UTC 2026","passed","Tue Jan 13 08:47:44 UTC 2026","Authorization","Authentication","",""
"","3631","Edit course","LMS system","Tue Jan 13 08:48:05 UTC 2026","passed","Tue Jan 13 08:48:08 UTC 2026","Courses","Courses","",""
"","1646","User login with wrong email or password","LMS system","Tue Jan 13 08:47:13 UTC 2026","passed","Tue Jan 13 08:47:15 UTC 2026","Authorization","Authentication","",""
"","2864","Create course","LMS system","Tue Jan 13 08:47:49 UTC 2026","passed","Tue Jan 13 08:47:52 UTC 2026","Courses","Courses","",""
"","1546","User login with wrong email or password","LMS system","Tue Jan 13 08:47:07 UTC 2026","passed","Tue Jan 13 08:47:09 UTC 2026","Authorization","Authentication","",""
"","2274","Check displaying of dashboard page","LMS system","Tue Jan 13 08:48:03 UTC 2026","passed","Tue Jan 13 08:48:05 UTC 2026","Dashboard","Dashboard","",""
"","1959","Check displaying of empty courses list","LMS system","Tue Jan 13 08:47:53 UTC 2026","passed","Tue Jan 13 08:47:55 UTC 2026","Courses","Courses","",""
"","1451","Check displaying of empty courses list","LMS system","Tue Jan 13 08:47:50 UTC 2026","passed","Tue Jan 13 08:47:52 UTC 2026","Courses","Courses","",""
"","2692","Create course","LMS system","Tue Jan 13 08:47:45 UTC 2026","passed","Tue Jan 13 08:47:47 UTC 2026","Courses","Courses","",""
"","2856","User login with wrong email or password","LMS system","Tue Jan 13 08:47:26 UTC 2026","passed","Tue Jan 13 08:47:29 UTC 2026","Authorization","Authentication","",""
"","2959","User login with wrong email or password","LMS system","Tue Jan 13 08:47:23 UTC 2026","passed","Tue Jan 13 08:47:26 UTC 2026","Authorization","Authentication","",""
"","1277","User login with wrong email or password","LMS system","Tue Jan 13 08:47:11 UTC 2026","passed","Tue Jan 13 08:47:12 UTC 2026","Authorization","Authentication","",""
"","2120","Check displaying of dashboard page","LMS system","Tue Jan 13 08:48:07 UTC 2026","passed","Tue Jan 13 08:48:09 UTC 2026","Dashboard","Dashboard","",""
"","1812","Registration with correct email, username and password","LMS system","Tue Jan 13 08:47:33 UTC 2026","passed","Tue Jan 13 08:47:35 UTC 2026","Registration","Authentication","",""
"","1523","Navigation from login page to registration page","LMS system","Tue Jan 13 08:47:40 UTC 2026","passed","Tue Jan 13 08:47:42 UTC 2026","Authorization","Authentication","",""
"","6813","Edit course","LMS system","Tue Jan 13 08:47:56 UTC 2026","passed","Tue Jan 13 08:48:02 UTC 2026","Courses","Courses","",""
"","1984","Navigation from login page to registration page","LMS system","Tue Jan 13 08:47:30 UTC 2026","passed","Tue Jan 13 08:47:32 UTC 2026","Authorization","Authentication","",""
"","3550","User login with correct email and password","LMS system","Tue Jan 13 08:47:22 UTC 2026","passed","Tue Jan 13 08:47:25 UTC 2026","Authorization","Authentication","",""
"","2107","Check displaying of dashboard page","LMS system","Tue Jan 13 08:48:00 UTC 2026","passed","Tue Jan 13 08:48:02 UTC 2026","Dashboard","Dashboard","",""
"","3864","User login with correct email and password","LMS system","Tue Jan 13 08:47:35 UTC 2026","passed","Tue Jan 13 08:47:39 UTC 2026","Authorization","Authentication","",""
"","1640","User login with wrong email or password","LMS system","Tue Jan 13 08:47:19 UTC 2026","passed","Tue Jan 13 08:47:21 UTC 2026","Authorization","Authentication","",""
"","2960","User login with wrong email or password","LMS system","Tue Jan 13 08:47:19 UTC 2026","passed","Tue Jan 13 08:47:22 UTC 2026","Authorization","Authentication","",""
"","3927","Create course","LMS system","Tue Jan 13 08:47:46 UTC 2026","passed","Tue Jan 13 08:47:50 UTC 2026","Courses","Courses","",""
"","3564","Edit course","LMS system","Tue Jan 13 08:47:56 UTC 2026","passed","Tue Jan 13 08:48:00 UTC 2026","Courses","Courses","",""
